location,platform,time,date,status,notes
Cape Canaveral,falcon 9 galileo l13,22:40 utc,9/17/2024,,
Cape Canaveral,falcon 9 bluebird-1,08:52 utc,9/12/2024,success,
Cape Canaveral,falcon 9 polaris dawn,09:23 utc,9/10/2024,success,
Cape Canaveral,falcon 9 starlink 8-11,15:33 utc,9/5/2024,success,
Cape Canaveral,falcon 9 starlink 8-11,12:59 utc,9/4/2024,delay,weather
Cape Canaveral,falcon 9 starlink 8-10,05:39 utc,8/31/2024,success,
Cape Canaveral,falcon 9 starlink 8-6,05:50 utc,8/28/2024,success,
Cape Canaveral,falcon 9 polaris dawn,07:33 utc,8/27/2024,delay,weather
Cape Canaveral,falcon 9 starlink 10-5,13:20 utc,8/20/2024,success,
Cape Canaveral,falcon 9 digital globe 2,13:00 utc,8/15/2024,success,
Cape Canaveral,falcon 9 starlink 10-7,10:37 utc,8/12/2024,success,
Cape Canaveral,falcon 9 starlink 10-7,11:21 utc,8/11/2024,delay,scheduling
Cape Canaveral,falcon 9 starlink 10-7,11:21 utc,8/10/2024,delay,technical
Cape Canaveral,starlink 8-3,12:50 utc,8/10/2024,success,
Cape Canaveral,falcon 9 starlink 8-3,12:13 utc,8/9/2024,delay,weather
Cape Canaveral,falcon 9 cygnus ng-21,15:02 utc,8/3/2024,success,
Cape Canaveral,falcon 9 starlink 10-6,05:01 utc,8/2/2024,success,
Cape Canaveral,atlas v ussf-51,10:45 utc,7/30/2024,success,
Cape Canaveral,falcon 9 starlink 10-4,05:09 utc,7/28/2024,success,
Cape Canaveral,falcon 9 starlink 10-9,05:45 utc,7/27/2024,success,
Cape Canaveral,falcon 9 turksat-6a,23:30 utc,7/8/2024,success,
Cape Canaveral,falcon 9 starlink 8-9,08:55 utc,7/3/2024,success,
Cape Canaveral,falcon 9 starlink 10-3,11:00 utc,6/27/2024,success,
Cape Canaveral,falcon heavy goes-u,21:26 utc,6/25/2024,success,
Cape Canaveral,falcon 9 ses-24,21:35 utc,6/20/2024,success,
Cape Canaveral,falcon 9 ses-24,21:35 utc,6/19/2024,delay,weather
Cape Canaveral,falcon 9 ses-24,21:35 utc,6/18/2024,delay,weather
Cape Canaveral,falcon 9 starlink 10-2,17:15 utc,6/23/2024,success,
Cape Canaveral,falcon 9 starlink 10-2,21:08 utc,6/12/2024,delay,technical
Cape Canaveral,falcon 9 starlink 10-1,01:56 utc,6/8/2024,success,
