base_text,latitude,longitude,month,Canx,aircraft
BEALE AFB,39.136089,-121.436567,1,0.1614255765199161,f-35
BEALE AFB,39.136089,-121.436567,2,0.032258064516129,f-35
BEALE AFB,39.136089,-121.436567,3,0.0083160083160083,f-35
BEALE AFB,39.136089,-121.436567,4,0.0235042735042735,f-35
BEALE AFB,39.136089,-121.436567,5,0.0210526315789473,f-35
BEALE AFB,39.136089,-121.436567,6,0.0363247863247863,f-35
BEALE AFB,39.136089,-121.436567,7,0.0144032921810699,f-35
BEALE AFB,39.136089,-121.436567,8,0.0349075975359342,f-35
BEALE AFB,39.136089,-121.436567,9,0.0323974082073434,f-35
BEALE AFB,39.136089,-121.436567,10,0.0371134020618556,f-35
BEALE AFB,39.136089,-121.436567,11,0.1428571428571428,f-35
BEALE AFB,39.136089,-121.436567,12,0.1275720164609053,f-35
EGLIN AFB,30.48325,-86.5254,1,0.0927419354838709,f-35
EGLIN AFB,30.48325,-86.5254,2,0.1039823008849557,f-35
EGLIN AFB,30.48325,-86.5254,3,0.0907258064516129,f-35
EGLIN AFB,30.48325,-86.5254,4,0.0416666666666666,f-35
EGLIN AFB,30.48325,-86.5254,5,0.0201612903225806,f-35
EGLIN AFB,30.48325,-86.5254,6,0.0083333333333333,f-35
EGLIN AFB,30.48325,-86.5254,7,0.0141129032258064,f-35
EGLIN AFB,30.48325,-86.5254,8,0.0101010101010101,f-35
EGLIN AFB,30.48325,-86.5254,9,0.0083507306889352,f-35
EGLIN AFB,30.48325,-86.5254,10,0.0161290322580645,f-35
EGLIN AFB,30.48325,-86.5254,11,0.0291666666666666,f-35
EGLIN AFB,30.48325,-86.5254,12,0.094758064516129,f-35
EIELSON AFB,64.665667,-147.1015,1,0.1199186991869918,f-35
EIELSON AFB,64.665667,-147.1015,2,0.06,f-35
EIELSON AFB,64.665667,-147.1015,3,0.0100806451612903,f-35
EIELSON AFB,64.665667,-147.1015,4,0.0020833333333333,f-35
EIELSON AFB,64.665667,-147.1015,5,0.0020242914979757,f-35
EIELSON AFB,64.665667,-147.1015,6,0.0229166666666666,f-35
EIELSON AFB,64.665667,-147.1015,7,0.0223123732251521,f-35
EIELSON AFB,64.665667,-147.1015,8,0.0303030303030303,f-35
EIELSON AFB,64.665667,-147.1015,9,0.0250521920668058,f-35
EIELSON AFB,64.665667,-147.1015,10,0.0463709677419354,f-35
EIELSON AFB,64.665667,-147.1015,11,0.0292275574112734,f-35
EIELSON AFB,64.665667,-147.1015,12,0.0506072874493927,f-35
ELLSWORTH AFB,44.15097,-103.09488,1,0.1157024793388429,f-35
ELLSWORTH AFB,44.15097,-103.09488,2,0.0680272108843537,f-35
ELLSWORTH AFB,44.15097,-103.09488,3,0.0860655737704918,f-35
ELLSWORTH AFB,44.15097,-103.09488,4,0.0976645435244161,f-35
ELLSWORTH AFB,44.15097,-103.09488,5,0.0674846625766871,f-35
ELLSWORTH AFB,44.15097,-103.09488,6,0.0378947368421052,f-35
ELLSWORTH AFB,44.15097,-103.09488,7,0.0184804928131416,f-35
ELLSWORTH AFB,44.15097,-103.09488,8,0.0181818181818181,f-35
ELLSWORTH AFB,44.15097,-103.09488,9,0.0730688935281837,f-35
ELLSWORTH AFB,44.15097,-103.09488,10,0.0752032520325203,f-35
ELLSWORTH AFB,44.15097,-103.09488,11,0.075,f-35
ELLSWORTH AFB,44.15097,-103.09488,12,0.0959183673469387,f-35
FAIRCHILD AFB,47.615,-117.65556,1,0.127016129032258,f-35
FAIRCHILD AFB,47.615,-117.65556,2,0.0864745011086474,f-35
FAIRCHILD AFB,47.615,-117.65556,3,0.0362903225806451,f-35
FAIRCHILD AFB,47.615,-117.65556,4,0.006276150627615,f-35
FAIRCHILD AFB,47.615,-117.65556,5,0.002016129032258,f-35
FAIRCHILD AFB,47.615,-117.65556,6,0.0041666666666666,f-35
FAIRCHILD AFB,47.615,-117.65556,7,0.0,f-35
FAIRCHILD AFB,47.615,-117.65556,8,0.0607287449392712,f-35
FAIRCHILD AFB,47.615,-117.65556,9,0.0381355932203389,f-35
FAIRCHILD AFB,47.615,-117.65556,10,0.0201612903225806,f-35
FAIRCHILD AFB,47.615,-117.65556,11,0.05625,f-35
FAIRCHILD AFB,47.615,-117.65556,12,0.0745967741935483,f-35
GRAND FORKS AFB,47.96111,-97.40111,1,0.0484848484848484,f-35
GRAND FORKS AFB,47.96111,-97.40111,2,0.04,f-35
GRAND FORKS AFB,47.96111,-97.40111,3,0.0302419354838709,f-35
GRAND FORKS AFB,47.96111,-97.40111,4,0.0167014613778705,f-35
GRAND FORKS AFB,47.96111,-97.40111,5,0.0120967741935483,f-35
GRAND FORKS AFB,47.96111,-97.40111,6,0.0083507306889352,f-35
GRAND FORKS AFB,47.96111,-97.40111,7,0.0262096774193548,f-35
GRAND FORKS AFB,47.96111,-97.40111,8,0.0161290322580645,f-35
GRAND FORKS AFB,47.96111,-97.40111,9,0.0062630480167014,f-35
GRAND FORKS AFB,47.96111,-97.40111,10,0.0221774193548387,f-35
